City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,Port Augusta,AU,2023-01-03 15:09:41,-32.5,137.7667,63.61,62,0,19.84
250,Liverpool,GB,2023-01-03 15:07:34,53.4106,-2.9779,51.44,93,75,20.71
251,Yumen,CN,2023-01-03 15:09:42,40.2833,97.2,16.32,52,79,11.5
252,Kalmunai,LK,2023-01-03 15:09:42,7.4167,81.8167,76.33,74,77,10.13
253,Sao Filipe,CV,2023-01-03 15:09:43,14.8961,-24.4956,77.79,57,70,10.0
254,Barabai,ID,2023-01-03 15:09:43,-2.5833,115.3833,75.92,93,100,2.91
255,Naze,JP,2023-01-03 15:09:43,28.3667,129.4833,55.67,69,100,14.09
256,East London,ZA,2023-01-03 15:09:44,-33.0153,27.9116,82.74,67,4,20.83
257,Bitung,ID,2023-01-03 15:09:44,1.4451,125.1824,77.85,86,97,7.2
258,Klaksvik,FO,2023-01-03 15:09:45,62.2266,-6.589,41.92,93,100,35.01
259,Miandrivazo,MG,2023-01-03 15:09:45,-19.5167,45.4667,74.89,92,100,3.62
260,Egvekinot,RU,2023-01-03 15:09:46,66.3167,-179.1667,-20.22,90,93,6.58
261,Akyab,MM,2023-01-03 15:09:46,20.15,92.9,71.13,63,0,10.31
262,Cap Malheureux,MU,2023-01-03 15:09:46,-19.9842,57.6142,81.46,64,36,5.99
263,Jiaohe,CN,2023-01-03 15:05:29,43.7286,127.3447,-5.84,98,7,1.92
264,Bandarbeyla,SO,2023-01-03 15:09:47,9.4942,50.8122,77.83,69,74,21.25
265,Tonj,SS,2023-01-03 15:09:48,7.2737,28.6822,86.61,26,97,4.76
266,Puerto El Triunfo,SV,2023-01-03 15:09:48,13.2833,-88.55,82.8,57,0,2.37
267,Portland,US,2023-01-03 15:04:54,45.5234,-122.6762,41.63,92,75,8.05
268,Kitimat,CA,2023-01-03 15:09:49,54.0524,-128.6534,34.18,32,97,2.48
269,Veraval,IN,2023-01-03 15:09:49,20.9,70.3667,71.44,37,14,13.4
270,Chino Valley,US,2023-01-03 15:09:49,34.7575,-112.4538,36.34,90,100,6.91
271,Vao,NC,2023-01-03 15:09:50,-22.6667,167.4833,75.38,73,3,8.34
272,Putyatino,RU,2023-01-03 15:09:50,54.16,41.1169,36.88,99,100,13.78
273,Katobu,ID,2023-01-03 15:09:51,-4.9408,122.5276,77.72,82,91,6.78
274,Faya,SA,2023-01-03 15:09:52,18.3851,42.4509,61.32,73,31,4.85
275,Pangnirtung,CA,2023-01-03 15:09:53,66.1451,-65.7125,-8.66,90,99,2.57
276,La Ronge,CA,2023-01-03 15:09:53,55.1001,-105.2842,6.89,93,36,2.53
277,Frasinet,RO,2023-01-03 15:09:53,44.3167,26.8,54.68,65,26,4.14
278,Bafq,IR,2023-01-03 15:09:54,31.6128,55.4107,46.89,33,0,2.95
279,San Francisco,US,2023-01-03 15:05:19,37.7749,-122.4194,49.1,92,100,10.36
280,Itacarambi,BR,2023-01-03 15:09:55,-15.1022,-44.0919,81.66,67,100,5.23
